fecha	titulo	repos	estado	categoria	detalle_final	pendiente	out_tokens	cache_read	modelo
2026-07-07	Scheduled pruning morning banner	presupuesto-ar	COMPLETED	review_ready	banner now persists all day until work marked Realizado; deployed v110 with morning/afternoon variants, Realizado button, and invoice prompt				claude-opus-4-8
2026-07-07	Pruebacero timer feature	pruevacero	COMPLETED	need_input	¿Querés que la próxima sesión arranque por alguna en particular (por ejemplo el bug del lápiz, que es el más molesto)?	¿Querés que la próxima sesión arranque por alguna en particular (por ejemplo el bug del lápiz, que es el más molesto)?			claude-opus-4-8
2026-07-05	Player analysis app planning	stockmerger,PruevaCero,presupuesto-ar	COMPLETED	need_input	¿Querés que siga ahora con algo o lo dejamos acá por hoy?	¿Querés que siga ahora con algo o lo dejamos acá por hoy?			claude-fable-5
2026-07-05	WhatsApp button in budget history	presupuesto-ar	COMPLETED	review_ready	fixed phone normalization for intl prefixes; Spanish +34 no longer prepended with 549. Deployed v107.				claude-fable-5
2026-07-04	Exact location data persistence bug	presupuesto-ar	COMPLETED	review_ready	fixed two budget bugs: (1) old snapshots missing location field now reset to defaults on load, (2) loading from history now auto-saves unsaved edits as draft before switching; verified JS syntax, offline PWA test, headless e2e on both scenarios				claude-fable-5
2026-07-04	Budget work scheduling feature	presupuesto-ar	COMPLETED	review_ready	chip + banner implementation complete: celeste chip with date, banner on history tab with WhatsApp button, badge counter + toast visible app-wide, auto-clears on coordination				claude-fable-5
2026-06-29	Price label redundancy in options	presupuesto-ar	COMPLETED	review_ready	reorganized editor: moved internal markup + discount to new 'Price Adjustments' section below 'Conditions'; internal markup now above discount; deployed to main				claude-opus-4-8
2026-06-29	Google Maps Plus Code in quotes	presupuesto-ar	COMPLETED	need_input	explained Plus Code vs coordinates precision (Plus Code ~14m cell vs GPS ~3-20m real-world limit); user to decide which to use	decide: use coordinates for max precision, or add Plus Code as visual reference alongside coordinates?			claude-opus-4-8
2026-06-28	ATA budget fonts and styling	presupuesto-ar	COMPLETED	review_ready	duration line de-emphasized to subtle gray single-line format; removed box/color/icon; deployed v89				claude-opus-4-8
2026-06-27	Joist Invoice app analysis	presupuesto-ar	COMPLETED	review_ready	linked invoices → budgets navigation live (v105): tap invoice shows budget, scroll+highlight; manual invoices show unavailable msg; 29 tests green				claude-fable-5
2026-06-27	App scannability design review	presupuesto-ar	COMPLETED	review_ready	completed native control audit: search type now has custom magnifier + close button (hid webkit defaults); number inputs spinners hidden; all 8 control types verified and styled; v85 deployed				claude-opus-4-8
2026-06-27	App emoji replacement plan	presupuesto-ar	COMPLETED	review_ready	color system refactored: 8-color palette → 4-color hierarchy (45 neutral, 8 green, 6 amber, 2 red); v74 deployed to main				claude-opus-4-8
2026-06-27	Invoice registration button unresponsive	presupuesto-ar	COMPLETED	review_ready	reordered Billing tab (Option B): invoice form now 2nd, config collapsed to accordion; deployed v71 to main				claude-opus-4-8
2026-06-27	Save as draft button behavior	presupuesto-ar	COMPLETED	need_input	¿Querés que ajuste algo del look — ancho de la banda, que el número del presupuesto (arriba a la derecha) sea más sobrio, o probar con tu logo real en vez de la inicial?	¿Querés que ajuste algo del look — ancho de la banda, que el número del presupuesto (arriba a la derecha) sea más sobrio, o probar con tu logo real en vez de la inicial?			claude-opus-4-8
2026-06-26	Multiple photos per tree/job	presupuesto-ar	COMPLETED	review_ready	race condition in PNG generation fixed (awaiting image load); v66 deploying to Cloudflare				claude-opus-4-8
2026-06-25	Dark theme print bar bug	presupuesto-ar	COMPLETED	review_ready	fixed dark-theme print footer black bar by resetting color-scheme:light in @media print; cache bumped v62→v63, merged to main				claude-opus-4-8
2026-06-24	Poda en Altura PWA product analysis	presupuesto-ar	COMPLETED	need_input	PDF header fix ready on branch c8cb419 v63; awaiting go-ahead to merge to main for mobile testing	confirm OK to merge to main so you can test 2-page PDF on phone			claude-opus-4-8
2026-06-24	Notification tap to budget highlight	presupuesto-ar	COMPLETED	review_ready	feature deployed: tap notification banner to jump to budget in History with highlight animation				claude-opus-4-8
2026-06-22	Budget expiration notifications	presupuesto-ar	COMPLETED	need_input	Android push notifications deployment complete (v57, Service Worker + Urgency header); awaiting user to test on device and report what appears in notification bar	Check notification bar now and tell me what you see (🌳 icon = success, ❌ nothing/old Chrome notification = SW not updated)			claude-opus-4-8
2026-06-21	Stock Merger feature gap analysis	stockmerger,stockvendedor	BLOCKED	need_input	¿Querés que repasemos algo de lo hecho o seguimos con otra cosa?	¿Querés que repasemos algo de lo hecho o seguimos con otra cosa?			claude-opus-4-8
2026-06-21	StockMerger exchange rate sync	stockmerger,stockvendedor	COMPLETED	review_ready	published to main in both repos; cache version auto-stamped; rolling out to phones in minutes				claude-opus-4-8
2026-06-21	UI redesign native Chrome components	stockmerger,stockvendedor	COMPLETED	review_ready	found root cause (enhanceAllSelects handler receiving DOM event instead of element); pushed fix to main; cache stamped				claude-opus-4-8
2026-06-21	Light theme UI	stockmerger,stockvendedor	COMPLETED	review_ready	progress notes written to CLAUDE.md in both repos (StockMerger & StockVendedor); UI redesign status logged with completed work, pending tasks, and decisions for next session				claude-opus-4-8
2026-06-21	Event logs audit	stockmerger,stockvendedor	COMPLETED	need_input	¿Lo dejamos como está o querés que les agregue la tarjeta a esos también?	¿Lo dejamos como está o querés que les agregue la tarjeta a esos también?			claude-opus-4-8
2026-06-20	ArborRisk backup and real-time sync	ArborRisk,presupuesto-ar,stockmerger	BLOCKED	need_input	¿Querés que te genere también una **versión del Excel** (plantilla `.xlsx` lista para llenar con las personas) para que la tengas a mano cuando empieces con La Falda u otras munis?	¿Querés que te genere también una **versión del Excel** (plantilla `.xlsx` lista para llenar con las personas) para que la tengas a mano cuando empieces con La Falda u otras munis?			claude-opus-4-8
2026-06-19	Arbor Risk repo workflow optimization	stockmerger,stockvendedor,presupuesto-ar,ArborRisk	COMPLETED	need_input	¿Querés que la limpie?	¿Querés que la limpie?			claude-opus-4-8
2026-06-18	StockMerger/StockVendedor security audit	stockmerger,stockvendedor	COMPLETED	need_input	¿Querés que dejemos acá por hoy, o seguimos con lo último que queda (lo opcional de cambiar la clave pública)?	¿Querés que dejemos acá por hoy, o seguimos con lo último que queda (lo opcional de cambiar la clave pública)?			claude-opus-4-8
2026-06-16	Odoo functions analysis	stockmerger,stockvendedor	COMPLETED	review_ready	answered: can work on other branches while changes are saved elsewhere				claude-opus-4-8
2026-06-16	Zavu.dev investigation	stockmerger,stockvendedor	COMPLETED	review_ready	WhatsApp integration options reviewed: wa.me links (free, no backend) best for starting; Cloud API (Meta) for auto-sends; Telegram bot alternative. Recommends wa.me links + offer to implement send button.				claude-opus-4-8
2026-06-15	Price presentation psychology	presupuesto-ar	COMPLETED	review_ready	list editor deployed: 3 textarea fields (work plan, custom plan, costing criteria) converted to numbered item boxes with add/delete per item, Enter creates new item, verified syntax/PWA/functional, v55 on main				claude-opus-4-8
2026-06-14	DaisyUI design review	presupuesto-ar	COMPLETED	need_input	¿Querés que también cambie el emoji 🌳 de la barra superior dentro de la app para que combine con la hoja?	¿Querés que también cambie el emoji 🌳 de la barra superior dentro de la app para que combine con la hoja?			claude-opus-4-8
2026-06-13	Offline-first app behavior without data	presupuesto-ar	COMPLETED	review_ready	provided push notification test checklist: enable toggle, redeploy worker with /test endpoint, trigger via HTTPS link				claude-opus-4-8
2026-06-13	Share Target implementation	presupuesto-ar	COMPLETED	review_ready	explained session-specific vs persistent instructions; added merge instruction to CLAUDE.md for future sessions				claude-opus-4-8
2026-06-13	APK conversion feasibility	presupuesto-ar	COMPLETED	review_ready	documented Share Target photo-sharing spec in docs/share-target-fotos.md; pushed to main				claude-opus-4-8
2026-06-13	Recommended skills for app development	presupuesto-ar	COMPLETED	need_input	¿Quiero dejarlo cableado así esa variable empieza a tener efecto?	¿Quiero dejarlo cableado así esa variable empieza a tener efecto?			claude-opus-4-8
2026-06-13	Claude skills setup	stockvendedor,stockmerger	COMPLETED	review_ready	evaluated 2 skills for app development practicality; webapp-testing most valuable for screenshot automation				claude-sonnet-4-6
2026-06-12	Per-person access management	stockmerger,stockvendedor	COMPLETED	review_ready	published vendor + app with auto-filled seller codes; estampado done (v...222418); waiting for deploy to phones (~5 min)				claude-opus-4-8
2026-06-11	Server cybersecurity options	stockmerger,stockvendedor	COMPLETED	review_ready	documented per-person access plan in PLAN-ACCESOS.md; committed to repos; ready for next session				claude-fable-5
2026-06-11	Multi-currency treasury and sales management	stockmerger,stockvendedor	COMPLETED	review_ready	verified both apps live and serving latest version; env vars configured (STOCKMERGER_URL + STOCKVENDEDOR_URL); ready for next session				claude-fable-5
2026-06-10	Stockmerger memory window minimization	stockmerger,stockvendedor	COMPLETED	review_ready	inventory hierarchy & sorting implemented: catalog order button (▲▼ to reorder sections/brands), unified Excel/vendor/customer template output, live across both apps				claude-fable-5
2026-06-10	Token-saving system setup	stockmerger,ArborRisk	COMPLETED	review_ready	rewritten prompt for token-saving system; ready to use with any repo				claude-sonnet-4-6
2026-06-10	Stock sorting and filtered Excel exports	stockmerger,stockvendedor	COMPLETED	review_ready	explained token-saving system replicability across projects; setup instructions provided				claude-fable-5
2026-06-10	CDN versions and SRI hashes	stockmerger,stockvendedor	COMPLETED	review_ready	skill 'flujo-stock' created, registered, and published to both repos; auto-activates on future app changes				claude-fable-5
2026-06-09	CDN versions and SRI hashes	stockmerger,stockvendedor	FAILED	failed	You've hit your session limit · resets 2:40am (UTC)				claude-fable-5
2026-06-09	App audit and improvement plan	stockmerger,stockvendedor	COMPLETED	need_input	¿Ya pudiste correrlo?	¿Ya pudiste correrlo?			claude-fable-5
2026-06-09	Claude skills directory setup	ArborRisk	COMPLETED	review_ready	skill desarrollo-apps saved to ~/.claude/skills/desarrollo-apps/SKILL.md				claude-sonnet-4-6
2026-06-09	Test coverage analysis	ArborRisk	COMPLETED	need_input	analysis complete: identified untested risk calc, expiry logic, export/import; proposing Node test harness + pure function extraction	confirm: should I set up Node test runner and write risk calc + expiry tests on claude/test-coverage-analysis-p564a0?			claude-opus-4-8
2026-06-09	ArborRisk GitHub deployment	ArborRisk,presupuesto-ar	COMPLETED	review_ready	merged safe PR (Cloudflare config); rejected 2 risky PRs; added matching config to ArborRisk; user needs to delete 3 old branches via GitHub web UI				claude-opus-4-8
2026-06-09	ArborRisk GitHub and Cloudflare deployment	ArborRisk	FAILED	failed	[ede_diagnostic] result_type=user last_content_type=n/a stop_reason=tool_use				claude-opus-4-8
2026-06-09	New session	ArborRisk	COMPLETED	need_input	Waiting on permission: AskUserQuestion	Approve or deny AskUserQuestion			claude-sonnet-4-6
2026-06-08	Budget app pre-launch audit	presupuesto-ar	COMPLETED	review_ready	merged photo persistence feature to main (commit 0fceb16); Cloudflare deploying; rollback via git revert 0fceb16 if needed				claude-opus-4-8
2026-06-08	Budget app pre-launch audit	presupuesto-ar	FAILED	failed	[ede_diagnostic] result_type=user last_content_type=n/a stop_reason=tool_use				claude-sonnet-4-6
2026-06-08	Application usage analytics	presupuesto-ar	COMPLETED	need_input	analytics options analyzed (Web Analytics, custom events, Worker endpoint); awaiting user decision on approach + which events to track	choose analytics path (Web Analytics / Umami / Plausible / Worker endpoint) and list events to measure			claude-opus-4-8
2026-06-08	Styles and themes audit	presupuesto-ar	COMPLETED	need_input	¿Algo más que quieras que agregue al documento antes de cerrar?	¿Algo más que quieras que agregue al documento antes de cerrar?			claude-opus-4-8
2026-06-08	PDF design options	presupuesto-ar	COMPLETED	need_input	¿Lográs entrar a Configuración → Estilo y ver las 4 opciones?	¿Lográs entrar a Configuración → Estilo y ver las 4 opciones?			claude-opus-4-8
2026-06-08	Automatic backup to Drive	stockvendedor,stockmerger	COMPLETED	review_ready	backup system live; stockmerger merged, Cloudflare deploying				claude-sonnet-4-6
2026-06-07	Frequent login prompts and offline support	presupuesto-ar	COMPLETED	review_ready	root cause: app nunca pide persistent storage; Brave borra datos				claude-opus-4-8
2026-06-07	STOCK V Y M	stockmerger,stockvendedor	COMPLETED	need_input	¿Querés que verifique si el deploy corrió bien?	¿Querés que verifique si el deploy corrió bien?			claude-opus-4-8
2026-06-06	PRESUPUESTO APP	presupuesto-ar	FAILED	failed	You've hit your session limit · resets 12:40am (UTC)				claude-opus-4-8
2026-05-18	Dispatch background conversation		COMPLETED					
